,loss,categorical_accuracy,precision,recall,val_loss,val_categorical_accuracy,val_precision,val_recall
0,1.860287070274353,0.24696898460388184,0.5151036977767944,0.025645621120929718,1.637681484222412,0.32842761278152466,0.6116843223571777,0.07007069140672684
1,1.552391529083252,0.3586806058883667,0.6238728165626526,0.0998116135597229,1.4549843072891235,0.3843039870262146,0.6381955146789551,0.12916481494903564
2,1.3970119953155518,0.40435150265693665,0.6520946025848389,0.15532559156417847,1.3517850637435913,0.4228927195072174,0.6650148034095764,0.1805218756198883
3,1.2899848222732544,0.43853825330734253,0.6743221282958984,0.20226725935935974,1.2006152868270874,0.45363619923591614,0.6839531064033508,0.22288061678409576
4,1.2004311084747314,0.46638137102127075,0.6920242309570312,0.24140037596225739,1.120430588722229,0.4785594940185547,0.6999186277389526,0.2591709494590759
5,1.1324888467788696,0.4891795516014099,0.7060684561729431,0.2753771245479584,1.0619416236877441,0.4992823004722595,0.71164470911026,0.2905423939228058
6,1.0740751028060913,0.508526623249054,0.7168129086494446,0.3043859601020813,1.001726508140564,0.517252504825592,0.7217375636100769,0.31742584705352783
7,1.0263643264770508,0.5254353284835815,0.726287841796875,0.3295564651489258,0.9732522368431091,0.5331563353538513,0.7304580211639404,0.34119877219200134
8,0.9833969473838806,0.5402739644050598,0.7341430187225342,0.35194268822669983,0.9214978218078613,0.547130823135376,0.737924337387085,0.3622369170188904
9,0.9490241408348083,0.5534317493438721,0.7411437034606934,0.3718009889125824,0.8895111083984375,0.5594910383224487,0.7442587018013,0.3811225891113281
10,0.9168152213096619,0.5651513338088989,0.7471908926963806,0.3898254930973053,0.8796310424804688,0.5706055164337158,0.7500672340393066,0.39818912744522095
11,0.8852460980415344,0.5757526755332947,0.7526492476463318,0.40610238909721375,0.8600271344184875,0.5807294845581055,0.7552934885025024,0.4137977361679077
12,0.8622132539749146,0.5854405164718628,0.757747232913971,0.4209652245044708,0.8602511882781982,0.5899891257286072,0.7600691318511963,0.4279208481311798
13,0.8399945497512817,0.5942330360412598,0.7620799541473389,0.43450653553009033,0.8236787915229797,0.5984167456626892,0.7642278671264648,0.44092509150505066
14,0.817736029624939,0.6023826003074646,0.7662058472633362,0.44692596793174744,0.8108258843421936,0.6062750816345215,0.7682793736457825,0.4527817964553833
15,0.7989490628242493,0.6100072860717773,0.7702367305755615,0.4584682583808899,0.7913429737091064,0.6136743426322937,0.7721711993217468,0.46398764848709106
16,0.7834156155586243,0.6171103715896606,0.7738734483718872,0.46917206048965454,0.7648090124130249,0.6204989552497864,0.7756283283233643,0.47430989146232605
17,0.7636869549751282,0.6237223744392395,0.7772345542907715,0.47925978899002075,0.7708951234817505,0.6268742680549622,0.7787997722625732,0.4840380847454071
18,0.7528867721557617,0.6298118233680725,0.7802721261978149,0.4885580241680145,0.7351890206336975,0.6327811479568481,0.781810462474823,0.4930828809738159
19,0.7399295568466187,0.6356620788574219,0.7832916378974915,0.4974184036254883,0.7346925735473633,0.6384939551353455,0.7847822308540344,0.5016093850135803
20,0.729783833026886,0.6411095857620239,0.786060631275177,0.5055586695671082,0.7269435524940491,0.643711268901825,0.7873172163963318,0.509489893913269
21,0.7155681252479553,0.6462458968162537,0.7885375618934631,0.5132514834403992,0.7366861701011658,0.6487074494361877,0.7898252010345459,0.5168811082839966
22,0.70814049243927,0.6510791778564453,0.7910370826721191,0.520398736000061,0.7117533683776855,0.6534440517425537,0.7922472953796387,0.5238734483718872
23,0.7004457712173462,0.655624508857727,0.7933374047279358,0.5271768569946289,0.7167176604270935,0.6578361392021179,0.7944595217704773,0.5304402709007263
24,0.6912159323692322,0.6599050164222717,0.7954695224761963,0.5336065292358398,0.6951175928115845,0.6619962453842163,0.7965158820152283,0.5367317795753479
